                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1156,                 2.1066,                 1.5511,                0.61123,                0.51252,                0.52396,                 0.3937,                 1.0476,                 1.7528,                 1.3691,             6.4699e-05,             6.4699e-05,             6.4699e-05
                      1,                 1.1176,                 2.1072,                 1.5552,                0.60661,                0.49284,                0.52789,                 0.3722,                 1.1479,                 1.7028,                 1.3863,              0.0001236,              0.0001236,              0.0001236
                      2,                 1.1141,                 2.0869,                 1.5414,                 0.5538,                0.53449,                0.54809,                0.41402,                 1.0092,                 1.6517,                 1.3403,             0.00017602,             0.00017602,             0.00017602
                      3,                 1.0923,                 2.0425,                 1.5174,                0.54691,                0.57751,                0.57029,                0.42605,                 1.0311,                 1.6268,                 1.3408,             0.00016689,             0.00016689,             0.00016689
                      4,                 1.1037,                 2.0265,                 1.5219,                0.53655,                0.61731,                0.60162,                0.46006,                0.96356,                 1.5641,                 1.3066,             0.00016689,             0.00016689,             0.00016689
                      5,                 1.0835,                 1.9807,                 1.4989,                0.58877,                0.58618,                0.60531,                 0.4436,                 1.0613,                 1.5185,                 1.3276,             0.00015719,             0.00015719,             0.00015719
                      6,                 1.0636,                  1.958,                   1.49,                0.57804,                0.59663,                0.62086,                0.44732,                 1.0988,                  1.509,                 1.3312,             0.00014749,             0.00014749,             0.00014749
                      7,                 1.0618,                 1.9203,                 1.4857,                0.60256,                0.62666,                0.64919,                0.48885,                 1.0017,                  1.455,                 1.2996,             0.00013779,             0.00013779,             0.00013779
                      8,                 1.0413,                 1.8781,                 1.4602,                0.62724,                0.62177,                0.64414,                0.50581,                0.89256,                 1.4024,                 1.2633,             0.00012809,             0.00012809,             0.00012809
                      9,                 1.0344,                 1.8553,                  1.461,                0.63234,                0.67521,                0.67519,                0.50505,                 0.9787,                  1.343,                 1.2702,             0.00011838,             0.00011838,             0.00011838
                     10,                 1.0354,                 1.8421,                 1.4565,                0.61911,                0.69463,                0.68138,                0.49539,                 1.0658,                 1.3541,                 1.2972,             0.00010868,             0.00010868,             0.00010868
                     11,                 1.0312,                 1.8101,                 1.4401,                0.64206,                0.67662,                0.69289,                0.51275,                 1.0161,                 1.3517,                 1.2763,              9.898e-05,              9.898e-05,              9.898e-05
                     12,                 0.9998,                 1.7628,                 1.4179,                 0.6441,                0.68799,                0.69609,                0.52711,                0.96522,                 1.3158,                 1.2605,             8.9278e-05,             8.9278e-05,             8.9278e-05
                     13,                 1.0041,                 1.7652,                 1.4268,                0.63043,                0.73193,                0.71075,                0.52544,                 1.0275,                 1.3078,                 1.2722,             7.9576e-05,             7.9576e-05,             7.9576e-05
                     14,                 0.9971,                 1.7447,                 1.4167,                0.67067,                0.70363,                 0.7282,                0.54993,                  0.975,                 1.2497,                 1.2483,             6.9874e-05,             6.9874e-05,             6.9874e-05
                     15,                0.99479,                 1.7335,                 1.4209,                0.65316,                 0.7159,                0.73521,                0.56424,                0.92365,                 1.2607,                  1.236,             6.0172e-05,             6.0172e-05,             6.0172e-05
                     16,                0.97774,                 1.7032,                 1.3983,                0.69129,                0.72478,                0.74429,                0.58083,                0.89349,                 1.2367,                 1.2165,              5.047e-05,              5.047e-05,              5.047e-05
                     17,                0.97527,                 1.7017,                 1.4028,                0.65822,                0.72852,                0.74063,                0.57262,                0.90817,                 1.2308,                 1.2205,             4.0768e-05,             4.0768e-05,             4.0768e-05
                     18,                0.97304,                 1.6765,                 1.4009,                0.71454,                0.72519,                0.75514,                0.58145,                0.91288,                 1.2166,                 1.2267,             3.1066e-05,             3.1066e-05,             3.1066e-05
                     19,                0.96929,                 1.6729,                 1.3898,                0.67826,                0.74398,                0.76168,                0.59615,                0.87947,                 1.1946,                 1.2079,             2.1364e-05,             2.1364e-05,             2.1364e-05
